"","card1","card2","card3","card4","card5","winloss"
"247",6,8,0,10,0,"Loss"
"248",4,10,0,10,0,"Loss"
"249",9,4,0,10,0,"Loss"
"250",4,10,0,4,0,"Win"
"251",9,2,4,2,0,"Loss"
"252",5,10,0,0,0,"Win"
"253",10,10,0,0,0,"Loss"
"254",4,10,0,7,0,"Win"
"255",8,8,0,1,0,"Push"
"256",11,9,0,0,0,"Win"
"257",10,10,0,0,0,"Push"
"258",3,3,6,5,0,"Push"
"259",10,5,0,0,0,"Loss"
"260",5,3,3,10,0,"Win"
"261",10,5,0,10,0,"Loss"
"262",10,2,0,10,0,"Loss"
"263",3,5,6,2,4,"Push"
"264",10,10,0,0,0,"Win"
"265",7,9,0,4,0,"Loss"
"266",9,6,0,0,0,"Loss"
"267",5,6,3,0,0,"Loss"
"268",10,7,0,0,0,"Loss"
"269",5,7,0,4,0,"Win"
"270",10,6,0,0,0,"Win"
"271",10,4,0,8,0,"Loss"
"272",10,10,0,0,0,"Win"
"273",11,10,0,0,0,"Win"
"274",6,10,0,4,0,"Loss"
"275",2,2,3,5,10,"Loss"
"276",10,10,0,0,0,"Win"
"277",6,3,3,3,6,"Win"
"278",10,10,0,0,0,"Win"
"279",3,10,0,10,0,"Loss"
"280",3,4,3,5,2,"Loss"
"281",8,4,0,0,0,"Loss"
"282",5,9,0,0,0,"Win"
"283",4,8,0,4,10,"Loss"
"284",10,9,0,0,0,"Win"
"285",7,10,0,0,0,"Loss"
"286",9,6,0,10,0,"Loss"
"287",3,6,10,0,0,"Win"
"288",3,6,7,0,0,"Loss"
"289",9,10,0,0,0,"Win"
"290",8,11,0,0,0,"Win"
"291",10,10,0,0,0,"Win"
"292",6,9,0,10,0,"Loss"
"293",11,3,5,0,0,"Win"
"294",4,6,10,0,0,"Win"
"295",8,9,0,0,0,"Push"
"296",7,10,0,0,0,"Win"
"297",10,10,0,0,0,"Win"
"298",10,10,0,0,0,"Push"
"299",6,6,0,10,0,"Loss"
"300",10,7,0,0,0,"Win"
"301",10,2,0,1,10,"Loss"
"302",8,10,0,0,0,"Loss"
"303",6,10,0,0,0,"Win"
"304",10,11,0,0,0,"Push"
"305",10,2,0,10,0,"Loss"
"306",5,8,0,0,0,"Win"
"307",2,10,0,10,0,"Loss"
"308",2,1,9,0,0,"Loss"
"309",2,7,10,0,0,"Loss"
"310",10,10,0,0,0,"Loss"
"311",3,10,0,10,0,"Loss"
"312",7,8,0,6,0,"Win"
"313",9,10,0,0,0,"Win"
"314",11,5,5,0,0,"Push"
"315",10,10,0,0,0,"Push"
"316",10,8,0,0,0,"Push"
"317",8,10,0,0,0,"Loss"
"318",7,10,0,0,0,"Push"
"319",8,11,0,0,0,"Win"
"320",5,10,0,5,0,"Win"
"321",10,2,0,6,0,"Loss"
"322",10,7,0,0,0,"Win"
"323",10,6,0,10,0,"Loss"
"324",3,6,2,4,2,"Loss"
"325",1,3,10,5,0,"Loss"
"326",4,6,4,4,0,"Loss"
"327",2,6,2,10,0,"Push"
"328",6,10,0,5,0,"Win"
"329",10,4,0,3,0,"Win"
"330",2,10,0,3,3,"Push"
"331",3,6,9,0,0,"Loss"
"332",3,9,0,10,0,"Loss"
"333",4,10,0,10,0,"Loss"
"334",10,10,0,0,0,"Win"
"335",10,10,0,0,0,"Push"
"336",5,10,0,0,0,"Win"
"337",10,10,0,0,0,"Win"
"338",10,3,0,0,0,"Loss"
"339",10,6,0,0,0,"Win"
"340",11,10,0,0,0,"Win"
"341",2,1,9,0,0,"Loss"
"342",7,3,3,0,0,"Loss"
"343",7,10,0,0,0,"Loss"
"344",10,11,0,0,0,"Win"
"345",10,9,0,0,0,"Loss"
"346",10,10,0,0,0,"Win"
"347",5,10,0,0,0,"Win"
"348",10,8,0,0,0,"Loss"
"349",9,8,0,0,0,"Loss"
"350",9,10,0,0,0,"Win"
"351",10,2,0,7,0,"Loss"
"352",8,10,0,0,0,"Win"
"353",8,10,0,0,0,"Win"
"354",5,4,11,0,0,"Push"
"355",10,3,0,8,0,"Win"
"356",7,5,0,10,0,"Loss"
"357",2,2,10,0,0,"Loss"
"358",10,5,0,4,0,"Win"
"359",6,9,0,0,0,"Loss"
"360",10,4,0,3,0,"Loss"
"361",6,10,0,0,0,"Win"
"362",4,2,5,2,4,"Win"
"363",1,6,8,0,0,"Loss"
"364",10,5,0,7,0,"Loss"
"365",10,10,0,0,0,"Win"
"366",3,3,8,0,0,"Loss"
"367",10,4,0,9,0,"Loss"
"368",8,8,0,0,0,"Win"
"369",8,10,0,0,0,"Loss"
"370",4,8,0,10,0,"Loss"
"371",6,1,9,10,0,"Loss"
"372",9,6,0,0,0,"Loss"
"373",10,10,0,0,0,"Win"
"374",10,10,0,0,0,"Win"
"375",10,10,0,0,0,"Win"
"376",9,8,0,0,0,"Loss"
"377",9,10,0,0,0,"Loss"
"378",8,5,0,9,0,"Loss"
"379",10,7,0,0,0,"Loss"
"380",10,10,0,0,0,"Win"
"381",10,10,0,0,0,"Win"
"382",11,1,8,0,0,"Win"
"383",2,8,4,0,0,"Loss"
"384",10,10,0,0,0,"Win"
"385",4,2,10,0,0,"Win"
"386",1,3,8,7,0,"Win"
"387",10,4,0,0,0,"Loss"
"388",8,4,0,10,0,"Loss"
"389",3,6,9,0,0,"Loss"
"390",10,10,0,0,0,"Loss"
"391",8,8,0,0,0,"Win"
"392",9,3,0,7,0,"Loss"
"393",8,3,2,3,10,"Loss"
"394",3,7,6,0,0,"Loss"
"395",7,5,0,0,0,"Loss"
"396",4,1,10,6,0,"Win"
"397",3,1,10,5,0,"Loss"
"398",7,9,0,7,0,"Loss"
"399",4,9,0,10,0,"Loss"
"400",8,8,0,10,0,"Loss"
"401",10,10,0,0,0,"Win"
"402",10,9,0,0,0,"Win"
"403",10,2,0,0,0,"Win"
"404",6,3,6,10,0,"Loss"
"405",10,11,0,0,0,"Win"
"406",10,2,0,2,0,"Loss"
"407",10,3,0,3,10,"Loss"
"408",4,2,9,0,0,"Loss"
"409",10,2,0,0,0,"Loss"
"410",10,8,0,0,0,"Loss"
"411",9,10,0,0,0,"Win"
"412",7,7,0,0,0,"Loss"
"413",8,5,0,6,0,"Win"
"414",5,10,0,0,0,"Loss"
"415",6,5,7,0,0,"Win"
"416",10,2,0,8,0,"Win"
"417",4,8,0,3,2,"Loss"
"418",11,7,0,0,0,"Win"
"419",4,10,0,9,0,"Loss"
"420",10,10,0,0,0,"Win"
"421",8,10,0,0,0,"Win"
"422",6,6,0,7,0,"Loss"
"423",10,3,0,0,0,"Loss"
"424",9,11,0,0,0,"Win"
"425",5,10,0,10,0,"Loss"
"426",2,10,0,8,0,"Loss"
"427",10,8,0,0,0,"Loss"
"428",2,10,0,4,2,"Loss"
"429",7,8,0,0,0,"Loss"
"430",3,11,7,0,0,"Win"
"431",3,9,0,4,10,"Loss"
"432",10,2,0,3,10,"Loss"
"433",9,7,0,0,0,"Loss"
"434",11,8,0,0,0,"Win"
"435",10,7,0,0,0,"Push"
"436",9,6,0,0,0,"Loss"
"437",10,3,0,0,0,"Loss"
"438",5,2,6,0,0,"Win"
"439",6,8,0,0,0,"Loss"
"440",11,10,0,0,0,"Win"
"441",10,3,0,0,0,"Loss"
"442",9,8,0,0,0,"Loss"
"443",7,10,0,0,0,"Loss"
"444",10,8,0,0,0,"Loss"
"445",10,10,0,0,0,"Push"
"446",3,9,0,0,0,"Loss"
"447",4,10,0,3,0,"Loss"
"448",7,6,0,10,0,"Loss"
"449",7,6,0,0,0,"Win"
"450",6,2,7,0,0,"Win"
"451",10,10,0,0,0,"Win"
"452",9,10,0,0,0,"Win"
"453",5,8,0,0,0,"Win"
"454",4,10,0,0,0,"Loss"
"455",10,6,0,0,0,"Loss"
"456",8,7,0,10,0,"Loss"
"457",3,10,0,10,0,"Loss"
"458",4,7,4,0,0,"Win"
"459",10,5,0,0,0,"Loss"
"460",10,11,0,0,0,"Win"
"461",8,11,0,0,0,"Loss"
"462",10,11,0,0,0,"Win"
"463",7,9,0,10,0,"Loss"
"464",10,8,0,0,0,"Loss"
"465",5,5,10,0,0,"Push"
"466",3,9,0,0,0,"Loss"
"467",9,3,0,1,3,"Win"
"468",2,9,8,0,0,"Loss"
